Name,AltName,Region,Province,City,Established,Established_Year,Specialisation,Address,Phone,PrimaryEmail,SecondaryEmail,Column24
Museum Bahari,Maritime Museum,Java,Special Capital Region of Jakarta,North Jakarta,"Jul 7, 1977",1977,Maritime history,"Jl. Pasar Ikan 1
Sunda Kelapa
Jakarta 14440
Indonesia
"," (021) 6693406
",t.ahmad@museumbahari.org,,http://www.museumbahari.org/
Museum Bank Indonesia,,Java,Special Capital Region of Jakarta,West Jakarta,"Jul 21, 2009",2009,Economics and numismatics,"Jl. Pintu Besar Utara No. 3
West Jakarta 11110
Indonesia 
"," (021) 2600158 
Fax (021) 2601730 
",museum@bi.go.id,,http://www.bi.go.id/en/tentang-bi/museum/Default.aspx
Bank Mandiri Museum,,Java,Special Capital Region of Jakarta,West Jakarta,"Oct 2, 1998",1998,Economics and numismatics,"Jl. Lapangan Stasiun No. 1
Jakarta Barat 11110
Indonesia
"," (021) 690 2000
Fax. (021) 690 0993
",museum.bankmandiri@bankmandiri.co.id,,http://www.wisatamuseum.com/mandiri-profile.php
Museum Seni Rupa dan Keramik,Museum of Fine Arts and Ceramics,Java,Special Capital Region of Jakarta,West Jakarta,"Aug 20, 1976",1976,Fine arts,"Jl. Pos Kota No 2
Jakarta Barat 11110
Indonesia
"," (021) 690 7062
Fax (021) 692 6091",museumsenirupa_k@yahoo.co.id,,http://www.museumsenirupa.com/
Museum Sejarah Jakarta,Jakarta History Museum,Java,Special Capital Region of Jakarta,West Jakarta,1974,1974,Indonesian history,"Jalan Taman Fatahillah No.1
Jakarta Barat 11110
Indonesia
", (021) 6929101,,,http://www.museumsejarahjakarta.org/
Wayang Museum,,Java,Special Capital Region of Jakarta,West Jakarta,"Aug 13, 1975",1975,Traditional arts,"Jl. Pintu Besar Utara No.27
Pinangsia, Jakarta Barat 11110
Indonesia
"," (021) 692 9560 / 692 7289
Fax (021) 692 9560
",info@museumwayang.com,,http://www.museumwayang.com/Beranda.html
Museum Tekstil,Textile Museum,Java,Special Capital Region of Jakarta,Central Jakarta,"Jun 28, 1978",1978,Textiles,"Jl. Aipda KS Tubun No.2-4 
Jakarta Pusat 10260","(021) 560 6613
Fax : (021) 565 4401",info@museumtekstiljakarta.com,mus_tekstil@yahoo.co.id,http://museumtekstiljakarta.com/ind_index.php#
Museum Trisakti/Museum Tragedi 12 Mei,12th of May Tragedy Museum,Java,Special Capital Region of Jakarta,West Jakarta,,,Memorial,"Universitas Trisakti, Kampus A
Jl. Kyai Tapa No. 1
Jakarta 11440
Indonesia
", +62 (021) 566 3232,,,
Jakarta Katedral,Jakarta Cathedral Museum,Java,Special Capital Region of Jakarta,Central Jakarta,"Apr 28, 1991",1991,Religion,,,,,http://www.katedraljakarta.or.id/berita-museum-katedral.html
Museum Joang '45,,Java,Special Capital Region of Jakarta,Central Jakarta,1974,1974,Indonesian history,,,,,
